credit_history,employment_status,collateral,payment_history,type_of_credit_accounts,public_records_and_collections,purpose_of_loan,income,assets_value,debt_to_income_ratio,length_of_credit_history,number_of_credit_inquiries,number_of_credit_accounts,number_of_credit_accounts_opened_last_12_months,current_balance_of_credit_accounts,total_credit_limit,total_credit_utilization,loan_amount,saving_account_balance,approval_status
Fair,Unemployed,Other,Excellent,Student,Other,Home Improvement,46319,14680,41,24,5,3,4,9591,17977,61,4315,10207,Rejected
Good,Self-Employed,None,Poor,Auto,Tax Lien,Debt Consolidation,15480,46713,82,0,5,3,2,8727,2399,60,4263,16666,Rejected
Fair,Self-Employed,House,Fair,Personal,Bankruptcy,Home Improvement,21614,13026,68,99,1,4,2,13997,10655,90,2334,10413,Rejected
Good,Unemployed,Other,Poor,Mortgage,Other,Car Financing,25874,27908,34,55,4,4,2,15684,19176,54,4010,16645,Rejected
Fair,Unemployed,Land,Excellent,Personal,None,Car Financing,20389,44309,75,30,4,0,5,1197,4449,100,2977,16366,Rejected
Fair,Employed,None,Poor,Student,Judgement,Home Improvement,33759,44825,39,77,2,2,1,14370,10866,76,4738,12131,Rejected
Good,Employed,Land,Good,Personal,Other,Debt Consolidation,19229,44998,7,6,0,2,5,19751,11567,88,1935,19511,Approved
Fair,Employed,None,Fair,Mortgage,Other,Business,37871,31210,15,43,2,0,3,8602,18022,7,2773,2050,Rejected
Fair,Unemployed,Other,Fair,Auto,Tax Lien,Business,40512,13136,75,15,1,1,5,14063,5549,48,1416,11265,Rejected
Poor,Employed,House,Excellent,Other,Tax Lien,Debt Consolidation,45272,30265,75,100,1,1,5,8540,1374,37,3011,18964,Rejected
Poor,Unemployed,Other,Good,Student,Collection,Debt Consolidation,23829,44899,88,93,3,4,5,4040,12140,96,1884,13871,Rejected
Good,Employed,Other,Good,Student,Other,Debt Consolidation,21607,16320,54,58,5,1,5,14710,3905,43,4978,13613,Rejected
Excellent,Self-Employed,Car,Poor,Mortgage,Other,Other,24670,21947,31,33,1,5,3,2592,2743,6,4217,570,Rejected
Fair,Self-Employed,None,Poor,Student,Tax Lien,Home Improvement,45349,18300,24,83,1,1,0,3385,18014,86,4375,10969,Rejected
Fair,Self-Employed,Other,Poor,Student,Bankruptcy,Business,28933,14208,6,56,3,0,3,16997,5089,56,1737,6068,Rejected
Poor,Employed,Investment,Fair,Personal,Collection,Other,34031,22575,96,23,5,3,5,18304,17580,27,4478,6979,Rejected
Poor,Employed,Investment,Poor,Other,Judgement,Debt Consolidation,39826,12375,67,69,5,5,3,2812,13413,23,3027,11378,Rejected
Good,Employed,Car,Good,Student,Bankruptcy,Home Improvement,48488,28076,59,66,0,4,4,9496,18382,68,3221,8651,Rejected
Good,Self-Employed,Land,Poor,Auto,None,Car Financing,45434,44699,52,1,0,3,2,3546,11110,90,3869,5122,Approved
Poor,Self-Employed,Car,Poor,Other,None,Debt Consolidation,36536,19249,50,76,5,3,2,2495,5059,9,3491,17510,Rejected
Good,Self-Employed,Other,Excellent,Student,None,Home Improvement,15749,43277,98,72,4,0,5,10826,19439,34,3630,9601,Approved
Excellent,Self-Employed,House,Poor,Other,Collection,Car Financing,34794,16414,73,27,2,0,1,15385,2595,96,3317,16815,Rejected
Excellent,Employed,Other,Poor,Mortgage,None,Car Financing,22402,12450,20,49,1,5,0,2393,17703,65,3022,13339,Rejected
Fair,Self-Employed,Investment,Fair,Personal,Collection,Other,28591,22123,61,66,2,0,5,2191,6103,18,3590,2040,Rejected
Fair,Unemployed,Investment,Excellent,Mortgage,Tax Lien,Business,47466,39009,89,9,5,2,0,9725,10337,16,3383,9564,Rejected
Fair,Self-Employed,Investment,Poor,Mortgage,Judgement,Car Financing,17468,47313,75,100,3,3,3,3710,16304,18,3302,9554,Rejected
Fair,Self-Employed,Land,Fair,Personal,Other,Debt Consolidation,27097,42634,8,24,4,0,0,16141,11038,27,1297,17306,Rejected
Good,Employed,Land,Good,Personal,Collection,Debt Consolidation,13800,11578,70,58,0,5,3,14296,16095,43,4640,8844,Rejected
Good,Unemployed,House,Fair,Mortgage,Other,Other,15707,25524,32,11,5,5,0,1791,14533,5,2980,11362,Rejected
Good,Employed,Investment,Fair,Mortgage,Tax Lien,Car Financing,35405,34404,73,39,0,0,2,4416,15550,12,2840,8447,Rejected
Excellent,Self-Employed,Land,Excellent,Other,None,Debt Consolidation,29783,30829,94,71,0,3,4,18633,11552,29,1997,9936,Rejected
Poor,Self-Employed,Investment,Fair,Other,Judgement,Other,22199,29611,7,48,5,2,5,8074,12443,31,4661,10385,Rejected
Fair,Self-Employed,House,Excellent,Personal,Judgement,Debt Consolidation,36420,32803,26,1,2,5,3,9260,17069,36,1930,5918,Rejected
Poor,Unemployed,Other,Good,Auto,Collection,Home Improvement,29209,15518,16,28,0,0,0,10937,15097,58,2988,9060,Rejected
Poor,Unemployed,Car,Excellent,Other,None,Business,29874,38120,59,84,1,4,2,12498,6933,94,4204,2625,Rejected
Fair,Self-Employed,House,Poor,Personal,Bankruptcy,Home Improvement,37183,19807,62,23,1,4,2,17663,1452,64,4299,8498,Rejected
Poor,Unemployed,Other,Fair,Auto,Judgement,Debt Consolidation,28403,42138,51,82,1,2,1,3871,13704,74,3717,5203,Rejected
Excellent,Employed,Investment,Good,Personal,Judgement,Car Financing,16517,36711,71,16,5,2,3,15,11811,96,3896,8142,Rejected
Good,Employed,Land,Excellent,Other,Tax Lien,Home Improvement,41136,46745,54,64,3,4,2,12270,12109,31,4862,18191,Approved
Good,Self-Employed,Car,Excellent,Personal,Collection,Car Financing,36676,27209,94,74,3,2,5,1557,12382,24,1558,17357,Approved
Good,Employed,Investment,Good,Student,Judgement,Home Improvement,32798,21776,34,64,3,5,5,12507,16000,85,1416,2247,Approved
Poor,Employed,None,Fair,Mortgage,Tax Lien,Debt Consolidation,18721,47589,29,71,4,4,0,2009,17651,36,3164,12654,Rejected
Good,Unemployed,None,Fair,Auto,Collection,Other,21091,44754,44,83,2,0,3,9647,15058,21,2946,7909,Rejected
Fair,Employed,Land,Good,Mortgage,Judgement,Other,34098,37012,1,75,0,2,3,3970,2332,55,4053,2316,Rejected
Good,Employed,Investment,Excellent,Personal,Judgement,Debt Consolidation,21533,34107,15,17,5,2,0,12780,3811,89,3263,14074,Rejected
Poor,Self-Employed,Other,Excellent,Student,None,Business,35487,31014,52,79,4,2,3,18568,3566,57,3808,8629,Rejected
Poor,Unemployed,Car,Excellent,Auto,Judgement,Car Financing,31897,44569,43,81,3,1,2,12134,18588,83,1395,14646,Rejected
Good,Self-Employed,Investment,Good,Auto,None,Business,44887,28522,10,73,5,4,5,11682,18526,70,2121,14876,Approved
Poor,Employed,None,Excellent,Personal,Judgement,Car Financing,10204,22354,90,4,5,5,3,19769,313,16,3858,1649,Rejected
